ID,Pricing_Action_ID,Pricing_Action_Name,Pricing_Type,Description,Sales_Org,Season,SNOW_Ticket_Number,Overall_Status,Change_Date,createdAt,createdBy,modifiedAt,modifiedBy
f8d2a101-1b34-4d91-9d4f-000000000001,MAN002234,Halloween Pricing Update,Day To Day Pricing,Halloween pricing update for US market,US01,Halloween,INC2432860,In Validation,2026-05-18,2026-05-01T09:00:00.000Z,pricing.admin@example.com,2026-05-18T10:00:00.000Z,pricing.admin@example.com
f8d2a101-1b34-4d91-9d4f-000000000002,MAN002235,Christmas Pricing Update,Mass Pricing,Christmas seasonal pricing rollout,US02,Christmas,INC2432861,Published,2026-09-15,2026-09-01T09:00:00.000Z,pricing.admin@example.com,2026-09-15T11:30:00.000Z,pricing.admin@example.com
f8d2a101-1b34-4d91-9d4f-000000000003,MAN002236,Easter Pricing Update,Day To Day Pricing,Easter promotion price changes,US03,Easter,INC2432862,Draft,2026-02-10,2026-02-01T08:15:00.000Z,pricing.manager@example.com,2026-02-10T09:45:00.000Z,pricing.manager@example.com
f8d2a101-1b34-4d91-9d4f-000000000004,MAN002237,Back To School Pricing,Mass Pricing,Back-to-school seasonal campaign,US04,Back To School,INC2432863,Published,2026-07-01,2026-06-20T10:00:00.000Z,pricing.user@example.com,2026-07-01T12:00:00.000Z,pricing.user@example.com
f8d2a101-1b34-4d91-9d4f-000000000005,MAN002238,Summer Promotion,Day To Day Pricing,Summer promotional pricing update,US05,Summer,INC2432864,Failed,2026-06-10,2026-06-01T08:30:00.000Z,pricing.admin@example.com,2026-06-10T13:20:00.000Z,pricing.admin@example.com
f8d2a101-1b34-4d91-9d4f-000000000006,MAN002239,Winter Pricing,Mass Pricing,Winter pricing adjustment,US06,Winter,INC2432865,Cancelled,2026-11-01,2026-10-20T09:15:00.000Z,pricing.user@example.com,2026-11-01T10:45:00.000Z,pricing.user@example.com
f8d2a101-1b34-4d91-9d4f-000000000007,MAN002240,Spring Promotion,Day To Day Pricing,Spring promotion campaign,US01,Spring,INC2432866,Published,2026-03-20,2026-03-05T09:00:00.000Z,pricing.manager@example.com,2026-03-20T14:10:00.000Z,pricing.manager@example.com
f8d2a101-1b34-4d91-9d4f-000000000008,MAN002241,Black Friday Pricing,Mass Pricing,Black Friday discount pricing,US02,Black Friday,INC2432867,In Validation,2026-11-20,2026-11-01T08:00:00.000Z,pricing.admin@example.com,2026-11-20T15:30:00.000Z,pricing.admin@example.com
f8d2a101-1b34-4d91-9d4f-000000000009,MAN002242,Valentine Pricing,Day To Day Pricing,Valentine's Day pricing campaign,US03,Valentine,INC2432868,Published,2026-02-01,2026-01-20T09:00:00.000Z,pricing.user@example.com,2026-02-01T11:45:00.000Z,pricing.user@example.com
f8d2a101-1b34-4d91-9d4f-000000000010,MAN002243,Year End Clearance,Mass Pricing,Year-end clearance pricing update,US04,Year End,INC2432869,Draft,2026-12-15,2026-12-01T10:30:00.000Z,pricing.manager@example.com,2026-12-15T16:00:00.000Z,pricing.manager@example.com
